,row_id,target,Run 1 presence
0,random_soundscape_069931_mallar3_60,TRUE,YES
1,random_soundscape_069931_brnowl_55,TRUE,YES
2,random_soundscape_069931_gwfgoo_70,TRUE,YES
3,random_soundscape_069931_mallar3_30,TRUE,YES
4,random_soundscape_069931_normoc_30,TRUE,YES
5,random_soundscape_069931_wesmea_65,TRUE,x
6,random_soundscape_069931_eurwig_30,TRUE,x
7,random_soundscape_069931_gadwal_65,TRUE,x
8,random_soundscape_069931_bkbplo_65,TRUE,YES
9,random_soundscape_069931_gnwtea_75,TRUE,YES
10,random_soundscape_069931_eurwig_15,TRUE,YES
11,random_soundscape_069931_bkbplo_65,TRUE,YES
12,random_soundscape_069931_norcar_80,TRUE,YES
13,random_soundscape_069931_bcnher_0,TRUE,YES
14,random_soundscape_069931_eurwig_40,TRUE,YES
